County,Date,Cases
Alamance,3/29/20,1
Bladen,3/29/20,1
Buncombe,3/29/20,2
Burke,3/29/20,1
Cabarrus,3/29/20,6
Caswell,3/29/20,1
Catawba,3/29/20,2
Chatham,3/29/20,1
Cherokee,3/29/20,2
Cleveland,3/29/20,1
Columbus,3/29/20,2
Craven,3/29/20,1
Cumberland,3/29/20,3
Currituck,3/29/20,1
Davidson,3/29/20,2
Davie,3/29/20,2
Durham,3/29/20,4
Forsyth,3/29/20,2
Gaston,3/29/20,5
Granville,3/29/20,2
Guilford,3/29/20,5
Harnett,3/29/20,1
Henderson,3/29/20,3
Iredell,3/29/20,3
Johnston,3/29/20,1
Lincoln,3/29/20,2
Mecklenburg,3/29/20,37
Moore,3/29/20,1
New Hanover,3/29/20,2
Northampton,3/29/20,1
Orange,3/29/20,2
Pamlico,3/29/20,1
Pasquotank,3/29/20,1
Pitt,3/29/20,2
Randolph,3/29/20,6
Rowan,3/29/20,3
Scotland,3/29/20,1
Stanly,3/29/20,3
Surry,3/29/20,1
Union,3/29/20,8
Wake,3/29/20,12
Washington,3/29/20,1
Yadkin,3/29/20,1
Alexander,3/28/20,1
Brunswick,3/28/20,1
Buncombe,3/28/20,2
Burke,3/28/20,2
Cabarrus,3/28/20,2
Carteret,3/28/20,1
Catawba,3/28/20,2
Chatham,3/28/20,1
Cleveland,3/28/20,2
Columbus,3/28/20,1
Craven,3/28/20,1
Cumberland,3/28/20,2
Davidson,3/28/20,10
Davie,3/28/20,2
Forsyth,3/28/20,16
Granville,3/28/20,1
Guilford,3/28/20,2
Halifax,3/28/20,1
Harnett,3/28/20,2
Henderson,3/28/20,4
Hoke,3/28/20,1
Iredell,3/28/20,3
Mecklenburg,3/28/20,40
NC,3/28/20,1
New Hanover,3/28/20,4
Northampton,3/28/20,21
Orange,3/28/20,3
Perquimans,3/28/20,1
Pitt,3/28/20,3
Polk,3/28/20,1
Randolph,3/28/20,4
Rowan,3/28/20,2
Union,3/28/20,3
Vance,3/28/20,1
Wake,3/28/20,11
Wilson,3/28/20,3
Alamance,3/27/20,1
Alleghany,3/27/20,1
Cabarrus,3/27/20,5
Carteret,3/27/20,1
Catawba,3/27/20,1
Chatham,3/27/20,2
Davidson,3/27/20,1
Davie,3/27/20,1
Durham,3/27/20,10
Edgecombe,3/27/20,1
Gaston,3/27/20,10
Granville,3/27/20,2
Greene,3/27/20,3
Guilford,3/27/20,6
Halifax,3/27/20,1
Henderson,3/27/20,2
Iredell,3/27/20,2
Lee,3/27/20,1
McDowell,3/27/20,2
Mecklenburg,3/27/20,55
Moore,3/27/20,2
New Hanover,3/27/20,6
Orange,3/27/20,8
Pitt,3/27/20,2
Stanly,3/27/20,1
Swain,3/27/20,1
Transylvania,3/27/20,1
Union,3/27/20,3
Wake,3/27/20,18
Watauga,3/27/20,2
Wayne,3/27/20,1
Alamance,3/26/20,1
Beaufort,3/26/20,3
Brunswick,3/26/20,1
Buncombe,3/26/20,3
Catawba,3/26/20,5
Chatham,3/26/20,3
Durham,3/26/20,9
Gaston,3/26/20,3
Guilford,3/26/20,4
Harnett,3/26/20,1
Henderson,3/26/20,2
Hertford,3/26/20,2
Iredell,3/26/20,2
Johnston,3/26/20,1
Lenoir,3/26/20,2
Mecklenburg,3/26/20,34
Mitchell,3/26/20,1
Montgomery,3/26/20,2
Moore,3/26/20,1
New Hanover,3/26/20,1
Northampton,3/26/20,3
Orange,3/26/20,3
Pitt,3/26/20,2
Polk,3/26/20,1
Randolph,3/26/20,2
Rowan,3/26/20,6
Union,3/26/20,8
Wake,3/26/20,21
Wilson,3/26/20,1
Cabarrus,3/25/20,4
Caldwell,3/25/20,2
Chatham,3/25/20,3
Cleveland,3/25/20,2
Cumberland,3/25/20,3
Dare,3/25/20,1
Durham,3/25/20,10
Forsyth,3/25/20,3
Guilford,3/25/20,6
Harnett,3/25/20,1
Iredell,3/25/20,2
Johnston,3/25/20,4
McDowell,3/25/20,1
Mecklenburg,3/25/20,28
New Hanover,3/25/20,5
Onslow,3/25/20,1
Orange,3/25/20,2
Pitt,3/25/20,1
Randolph,3/25/20,1
Surry,3/25/20,1
Transylvania,3/25/20,1
Union,3/25/20,3
Wake,3/25/20,11
Bertie,3/24/20,3
Brunswick,3/24/20,2
Buncombe,3/24/20,4
Burke,3/24/20,1
Cabarrus,3/24/20,6
Caldwell,3/24/20,1
Craven,3/24/20,1
Duplin,3/24/20,1
Durham,3/24/20,3
Forsyth,3/24/20,2
Franklin,3/24/20,1
Guilford,3/24/20,5
Hertford,3/24/20,1
Hoke,3/24/20,1
Iredell,3/24/20,1
Jackson,3/24/20,1
Lenoir,3/24/20,1
McDowell,3/24/20,2
Mecklenburg,3/24/20,36
Nash,3/24/20,1
Orange,3/24/20,5
Person,3/24/20,1
Pitt,3/24/20,1
Robeson,3/24/20,1
Rowan,3/24/20,4
Transylvania,3/24/20,1
Union,3/24/20,1
Vance,3/24/20,1
Wake,3/24/20,7
Watauga,3/24/20,1
Wayne,3/24/20,1
Wilson,3/24/20,2
Alamance,3/23/20,1
Brunswick,3/23/20,1
Buncombe,3/23/20,5
Catawba,3/23/20,3
Cumberland,3/23/20,2
Davidson,3/23/20,2
Durham,3/23/20,30
Gaston,3/23/20,1
Harnett,3/23/20,2
Henderson,3/23/20,1
Iredell,3/23/20,2
Johnston,3/23/20,1
Mecklenburg,3/23/20,26
New Hanover,3/23/20,5
Northampton,3/23/20,1
Randolph,3/23/20,2
Stanly,3/23/20,1
Union,3/23/20,3
Vance,3/23/20,1
Wake,3/23/20,14
Wilson,3/23/20,1
Brunswick,3/22/20,1
Buncombe,3/22/20,2
Cherokee,3/22/20,1
Davie,3/22/20,1
Durham,3/22/20,1
Forsyth,3/22/20,4
Gaston,3/22/20,2
Guilford,3/22/20,4
Iredell,3/22/20,4
Mecklenburg,3/22/20,3
Nash,3/22/20,2
Pitt,3/22/20,2
Union,3/22/20,4
Wake,3/22/20,3
Alamance,3/21/20,1
Brunswick,3/21/20,2
Buncombe,3/21/20,1
Cabarrus,3/21/20,1
Carteret,3/21/20,3
Cherokee,3/21/20,3
Cumberland,3/21/20,1
Durham,3/21/20,1
Forsyth,3/21/20,1
Guilford,3/21/20,3
Harnett,3/21/20,1
Henderson,3/21/20,1
Mecklenburg,3/21/20,34
Montgomery,3/21/20,1
Nash,3/21/20,1
New Hanover,3/21/20,3
Onslow,3/21/20,2
Orange,3/21/20,2
Robeson,3/21/20,1
Union,3/21/20,3
Wake,3/21/20,17
Wilson,3/21/20,1
Alamance,3/20/20,1
Brunswick,3/20/20,3
Cabarrus,3/20/20,4
Carteret,3/20/20,2
Catawba,3/20/20,1
Craven,3/20/20,1
Durham,3/20/20,4
Forsyth,3/20/20,3
Franklin,3/20/20,4
Gaston,3/20/20,1
Granville,3/20/20,1
Guilford,3/20/20,1
Johnston,3/20/20,1
Lee,3/20/20,1
Mecklenburg,3/20/20,11
Orange,3/20/20,4
Pitt,3/20/20,1
Rowan,3/20/20,2
Scotland,3/20/20,1
Wake,3/20/20,7
Cumberland,3/19/20,2
Davidson,3/19/20,1
Durham,3/19/20,8
Forsyth,3/19/20,2
Guilford,3/19/20,2
Harnett,3/19/20,2
Mecklenburg,3/19/20,18
Moore,3/19/20,1
Pasquotank,3/19/20,1
Pitt,3/19/20,1
Union,3/19/20,1
Wake,3/19/20,3
Wilson,3/19/20,1
Durham,3/18/20,11
Hoke,3/18/20,1
Iredell,3/18/20,1
Lincoln,3/18/20,1
Mecklenburg,3/18/20,3
Moore,3/18/20,1
New Hanover,3/18/20,1
Union,3/18/20,1
Wake,3/18/20,5
Watauga,3/18/20,1
Chatham,3/17/20,2
Durham,3/17/20,15
Guilford,3/17/20,1
Mecklenburg,3/17/20,4
Wake,3/17/20,2
Harnett,3/16/20,2
Iredell,3/16/20,1
Mecklenburg,3/16/20,3
Sampson,3/16/20,1
Wake,3/16/20,1
Mecklenburg,3/15/20,2
Wake,3/15/20,3
Watauga,3/15/20,1
Wilson,3/15/20,1
Brunswick,3/14/20,1
Craven,3/14/20,1
Harnett,3/14/20,1
Johnston,3/14/20,1
Mecklenburg,3/14/20,1
Wake,3/14/20,2
Harnett,3/13/20,1
Wake,3/13/20,1
Wayne,3/13/20,1
Cabarrus,3/12/20,1
Forsyth,3/12/20,2
Johnston,3/12/20,1
Mecklenburg,3/12/20,1
Onslow,3/12/20,1
Wake,3/12/20,1
Durham,3/11/20,1
Wake,3/9/20,6
Chatham,3/6/20,1
Wake,3/3/20,1
Alamance,3/30/20,1
Alleghany,3/30/20,1
Bertie,3/30/20,3
Brunswick,3/30/20,1
Buncombe,3/30/20,2
Burke,3/30/20,1
Cabarrus,3/30/20,9
Carteret,3/30/20,3
Chatham,3/30/20,1
Cherokee,3/30/20,1
Cumberland,3/30/20,5
Davidson,3/30/20,3
Davie,3/30/20,6
Durham,3/30/20,11
Forsyth,3/30/20,5
Franklin,3/30/20,1
Gaston,3/30/20,5
Granville,3/30/20,1
Guilford,3/30/20,5
Halifax,3/30/20,1
Harnett,3/30/20,1
Henderson,3/30/20,3
Iredell,3/30/20,4
Johnston,3/30/20,1
McDowell,3/30/20,2
Mecklenburg,3/30/20,46
Moore,3/30/20,1
New Hanover,3/30/20,3
Onslow,3/30/20,2
Orange,3/30/20,1
Pitt,3/30/20,10
Randolph,3/30/20,2
Rowan,3/30/20,1
Rutherford,3/30/20,2
Wake,3/30/20,34
Wayne,3/30/20,1
Wilkes,3/30/20,2
Wilson,3/30/20,3
Yadkin,3/30/20,1