Name,Population,Area (sq mi),Per capita income,Median household income,Median family income
Alamance,157844,435,22819,44167,52806
Alexander,37159,263,20716,40014,51431
Alleghany,10935,236,18919,30845,38535
Anson,25531,537,16856,34745,39612
Ashe,26833,427,20350,34538,46537
Avery,17535,247,23465,34918,47644
Beaufort,47316,959,22728,40653,49668
Bertie,19913,741,17614,29110,39443
Bladen,34130,887,17890,30471,41937
Brunswick,122586,860,26315,45806,54644
Buncombe,252268,660,25665,44190,54981
Burke,88898,515,19220,37139,46799
Cabarrus,196716,365,26165,53928,65594
Caldwell,81805,474,19686,37261,48462
Camden,10336,306,25544,61091,74320
Carteret,68699,1341,26791,46155,56842
Caswell,22833,428,17814,36927,44401
Catawba,156182,414,22969,43484,53285
Chatham,68264,709,29991,56038,66120
Cherokee,27463,497,20747,38144,44949
Chowan,14370,233,20900,36761,45932
Clay,10753,221,20474,35109,39406
Cleveland,97038,469,19284,38208,47460
Columbus,56589,954,18784,35421,45193
Craven,103374,774,24591,44599,53604
Cumberland,332766,658,22285,43834,50910
Currituck,25247,529,26083,55376,66213
Dare,35412,1562,30327,53889,65778
Davidson,164118,567,22268,44249,54652
Davie,41766,267,26139,49727,61659
Duplin,59350,819,16693,32816,40774
Durham,300865,298,27503,49894,62890
Edgecombe,54032,507,16747,32665,41857
Forsyth,368362,413,26213,46749,59867
Franklin,63866,495,21331,43710,51591
Gaston,214049,364,22305,43253,53366
Gates,11601,346,19893,45682,55559
Graham,8607,302,17825,28447,34831
Granville,58503,537,21733,48210,57203
Greene,21059,266,17362,41488,48409
Guilford,517197,658,26267,45676,59367
Halifax,52300,731,17223,30439,40569
Harnett,128753,601,19274,42853,52708
Haywood,59835,555,24233,41377,51596
Henderson,112156,375,26061,46446,58381
Hertford,24262,360,17002,30878,39973
Hoke,52571,392,17630,42927,47281
Hyde,5507,1424,14992,38265,44406
Iredell,169798,597,25610,48962,59639
Jackson,41725,494,20228,37190,49500
Johnston,186308,796,22437,49745,58187
Jones,9776,473,20066,38354,45876
Lee,59805,259,21061,44120,53375
Lenoir,57934,402,19017,33625,42317
Lincoln,80504,307,23560,47450,54765
McDowell,34160,446,26156,38615,46702
Macon,21347,519,18792,38580,49838
Madison,23227,452,18728,34766,43293
Martin,45069,461,18798,34953,47243
Mecklenburg,1034290,546,31848,55294,67375
Mitchell,15155,222,18804,32743,41727
Montgomery,27445,502,18618,33861,43740
Moore,94191,706,25786,48319,61068
Nash,94125,543,23909,44499,55186
New Hanover,219866,328,29363,48553,65188
Northampton,20426,551,17128,30578,40230
Onslow,192685,909,21048,43561,48380
Orange,141812,401,32912,52981,79811
Pamlico,12803,566,23320,40561,51630
Pasquotank,39546,289,21736,44085,54785
Pender,57630,933,22872,44338,54087
Perquimans,13506,329,22085,43041,48870
Person,39240,404,21848,44668,54747
Pitt,176484,655,21935,38592,53432
Polk,20434,239,24008,43692,55846
Randolph,142827,790,21297,40346,49257
Richmond,45447,480,17692,30439,38881
Robeson,134187,951,15321,29667,34788
Rockingham,91566,572,20801,39231,48641
Rowan,138940,524,21525,43596,52850
Rutherford,66523,566,18961,35364,43702
Sampson,63664,947,19086,35740,44296
Scotland,35445,321,16297,29368,37232
Stanly,60875,404,21139,44802,58125
Stokes,46124,456,20852,42689,49134
Surry,72315,538,20541,37294,47248
Swain,14208,541,19297,35071,48101
Transylvania,33291,381,23939,39408,52674
Tyrrell,4090,600,15812,32215,37708
Union,222095,640,28596,63386,71538
Vance,44420,270,17622,34025,41025
Wake,1023811,857,32592,63770,81461
Warren,20190,444,17838,30641,40323
Washington,12331,424,16982,32716,41007
Watauga,53421,313,20961,31967,56112
Wayne,124496,557,20446,41224,49504
Wilkes,68525,760,19406,33438,43439
Wilson,81379,374,20691,38596,47716
Yadkin,37825,337,20379,39807,50990
Yancey,17605,313,18576,35703,42252